#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 keV - 10000.0 keV keV):0.0006125301414432653 1 / (cm2 s)


IP LOGLOG

DP 100.0 3.481660808387619e-06
DP 112.53355826007646 2.895969383242151e-06
DP 126.63801734674034 2.4122286696184227e-06
DP 142.5102670302998 2.019417983039182e-06
DP 160.3718743751331 1.6905731374410346e-06
DP 180.47217668271702 1.4152778459147577e-06
DP 203.09176209047348 1.1848120242635688e-06
DP 228.54638641349908 9.875080937499207e-07
DP 257.19138090593447 8.225319335944855e-07
DP 289.4266124716752 6.851172016358334e-07
DP 325.7020655659783 5.722387324371572e-07
DP 366.5241237079626 4.82897157393337e-07
DP 412.4626382901352 4.0750416111368804e-07
DP 464.15888336127773 3.4388200216658156e-07
DP 522.3345074266844 2.9009030215876045e-07
DP 587.8016072274912 2.4387232767036485e-07
DP 661.4740641230146 2.0501792635182026e-07
DP 744.3803013251688 1.7235391373478923e-07
DP 837.6776400682916 1.438077279286928e-07
DP 942.6684551178854 1.1952734708981707e-07
DP 1060.8183551394482 9.934644617578336e-08
DP 1193.7766417144358 8.271415093621017e-08
DP 1343.3993325989002 6.926431453671891e-08
DP 1511.775070615663 5.800150535234774e-08
DP 1701.2542798525892 4.857009912882344e-08
DP 1914.4819761699575 4.042656488431096e-08
DP 2154.4346900318824 3.349356097778053e-08
DP 2424.462017082328 2.7749541178742712e-08
DP 2728.3333764867693 2.299059918237954e-08
DP 3070.2906297578497 1.9085789349531122e-08
DP 3455.1072945922183 1.584743298335801e-08
DP 3888.155180308085 1.3158540501663518e-08
DP 4375.479375074185 1.0923092368699482e-08
DP 4923.882631706741 8.93409433335728e-09
DP 5541.020330009492 7.307275161935673e-09
DP 6235.507341273912 5.976685302378785e-09
DP 7017.038286703822 4.877161076541527e-09
DP 7896.522868499725 3.917593610269693e-09
DP 8886.238162743408 3.1468182933398444e-09
DP 10000.0 2.527690811354119e-09
EN
